 WMBASIC, Moont, Westmoquette 2004 (Pauldrach 2003) after SNC 2002
 Z/Z0 0.40 Teff 37.15 logg 3.40 R/R0 23.56 R 1.6386E+12
   Wavelength   Eddington Hnu
 (Angstroms) (erg/s/cm2/Hz/sr)
 2.76682890E+02 1.42391660E-05
 2.77204040E+02 1.72689840E-05
 2.77383510E+02 1.85448800E-05
 2.77726170E+02 2.09930570E-05
 2.78249290E+02 1.79369890E-07
 2.78773390E+02 1.17365210E-07
 2.79298480E+02 1.15365250E-06
 2.79824550E+02 7.22738110E-06
 2.80166740E+02 1.52426290E-05
 2.80170670E+02 1.56753340E-05
 2.80351620E+02 2.00293330E-05
 2.80879680E+02 1.06752060E-05
 2.81408740E+02 1.56433050E-05
 2.81938790E+02 2.59521840E-06
 2.82469840E+02 1.20643590E-06
 2.83001890E+02 8.56609280E-06
 2.83305060E+02 1.16188160E-05
 2.83534950E+02 1.39450050E-05
 2.84069000E+02 1.42637260E-05
 2.84604070E+02 9.28340180E-07
 2.85140140E+02 1.89611000E-05
 2.85677220E+02 4.84032890E-06
 2.86215310E+02 3.02160760E-06
 2.86514480E+02 2.15143150E-05
 2.86518580E+02 2.29366040E-05
 2.86754420E+02 3.83717520E-05
 2.87294540E+02 4.41867770E-05
 2.87835680E+02 6.97162190E-05
 2.88377830E+02 9.01474420E-06
 2.88921010E+02 1.87299940E-05
 2.89465220E+02 1.79459070E-05
 2.90010440E+02 1.20707650E-05
 2.90556700E+02 9.60243360E-06
 2.91030630E+02 9.46297310E-06
 2.91103980E+02 9.44125960E-06
 2.91652290E+02 1.40829350E-05
 2.92201640E+02 2.59857970E-05
 2.92752020E+02 9.00071210E-06
 2.93303440E+02 8.35656880E-06
 2.93855900E+02 7.20406690E-06
 2.94409390E+02 1.37090890E-05
 2.94963930E+02 1.71749460E-05
 2.95519520E+02 1.86327030E-05
 2.95691420E+02 2.11969800E-05
 2.95695790E+02 2.12630450E-05
 2.96076150E+02 2.69643800E-05
 2.96633830E+02 2.49679960E-05
 2.97192560E+02 1.80113520E-05
 2.97613730E+02 1.78118520E-05
 2.97752340E+02 1.77458030E-05
 2.98313180E+02 7.34421670E-06
 2.98875070E+02 1.09361040E-04
 2.99438020E+02 2.29502740E-07
 2.99561200E+02 1.26391490E-06
 2.99565690E+02 1.71148510E-06
 2.99930480E+02 5.75511790E-06
 2.99934970E+02 5.80774230E-06
 3.00002030E+02 6.55400860E-06
 3.00567110E+02 1.83551020E-05
 3.01133250E+02 3.21306540E-05
 3.01700450E+02 2.68143110E-07
 3.02141460E+02 2.15083780E-07
 3.02268720E+02 1.99703250E-07
 3.02838070E+02 1.12798880E-05
 3.03408480E+02 3.23612470E-05
 3.03979970E+02 2.49982740E-08
 3.04385280E+02 9.69069820E-07
 3.04389910E+02 9.79907490E-07
 3.04552540E+02 1.36039010E-06
 3.05126190E+02 1.20388580E-05
 3.05700910E+02 1.91136160E-05
 3.06276720E+02 4.07848630E-05
 3.06853610E+02 2.59713610E-05
 3.07431590E+02 2.53579130E-05
 3.08010660E+02 2.30978940E-05
 3.08590820E+02 3.58719110E-05
 3.08844150E+02 8.47154320E-05
 3.09172070E+02 1.48209430E-04
 3.09754420E+02 1.07704220E-04
 3.10337860E+02 2.39997930E-05
 3.10922400E+02 2.97579980E-07
 3.11508050E+02 2.53939350E-07
 3.12094790E+02 3.40001000E-07
 3.12682640E+02 2.87872470E-06
 3.13271600E+02 1.82655910E-05
 3.13435610E+02 2.25221850E-05
 3.13440520E+02 2.27304100E-05
 3.13588740E+02 2.65999430E-05
 3.13593660E+02 2.67285590E-05
 3.13861670E+02 3.37464670E-05
 3.14452850E+02 1.32707390E-04
 3.15045140E+02 3.95301820E-05
 3.15638550E+02 3.78119820E-05
 3.16233080E+02 7.83155920E-05
 3.16351530E+02 6.58176240E-05
 3.16828720E+02 1.52578490E-05
 3.17425490E+02 1.60027200E-04
 3.18023380E+02 1.49946600E-04
 3.18622400E+02 6.28687910E-05
 3.19163430E+02 6.45910730E-06
 3.19168530E+02 6.06825280E-06
 3.19222550E+02 2.76518970E-07
 3.19823830E+02 6.02277030E-06
 3.20426240E+02 2.03645360E-06
 3.20800100E+02 5.84467450E-06
 3.20805250E+02 5.90123780E-06
 3.21029780E+02 8.19924550E-06
 3.21634460E+02 2.25033000E-05
 3.22240280E+02 1.61476660E-05
 3.22847240E+02 9.03542650E-07
 3.23455350E+02 3.35714970E-07
 3.24064600E+02 7.09048200E-06
 3.24233030E+02 1.23169680E-05
 3.24675000E+02 2.60858550E-05
 3.25286540E+02 5.12572890E-05
 3.25899240E+02 2.32695710E-05
 3.26513100E+02 2.92296100E-05
 3.27128100E+02 5.28555360E-06
 3.27740230E+02 2.17253470E-05
 3.27744270E+02 2.18344000E-05
 3.27745600E+02 2.19218700E-05
 3.27954120E+02 3.37477820E-05
 3.27959500E+02 3.42985280E-05
 3.28361600E+02 5.73577780E-05
