 WMBASIC, Moont, Westmoquette 2004 (Pauldrach 2003) after SNC 2002
 Z/Z0 0.05 Teff 25.00 logg 4.00 R/R0 7.07 R 4.9172E+11
   Wavelength   Eddington Hnu
 (Angstroms) (erg/s/cm2/Hz/sr)
 3.25135840E+02 2.19808750E-11
 3.25478610E+02 2.16514300E-11
 3.25769980E+02 2.13514990E-11
 3.26405360E+02 2.03523920E-11
 3.27041980E+02 2.48928960E-11
 3.27679840E+02 2.43774160E-11
 3.27954120E+02 2.33142670E-11
 3.27959500E+02 2.32936140E-11
 3.28318940E+02 2.18333290E-11
 3.28839200E+02 2.36269430E-11
 3.28844600E+02 2.36459320E-11
 3.28959290E+02 2.40534550E-11
 3.29600890E+02 2.90359060E-11
 3.30243740E+02 2.02617400E-11
 3.30887840E+02 3.11773570E-11
 3.31533200E+02 3.32340300E-11
 3.32179820E+02 3.80039520E-11
 3.32827700E+02 3.60788950E-11
 3.33476850E+02 3.74873570E-11
 3.34127260E+02 3.89422770E-11
 3.34778940E+02 4.01569850E-11
 3.35234000E+02 4.03627190E-11
 3.35431880E+02 4.04457060E-11
 3.36086110E+02 4.40136500E-11
 3.36741610E+02 4.55582640E-11
 3.37398380E+02 4.78189680E-11
 3.38056440E+02 4.95852450E-11
 3.38715780E+02 5.10826960E-11
 3.39376410E+02 5.38866640E-11
 3.40038330E+02 5.52995220E-11
 3.40701540E+02 5.66043700E-11
 3.41366040E+02 6.13438140E-11
 3.41882450E+02 6.21412520E-11
 3.41888290E+02 6.20062460E-11
 3.42031830E+02 6.22254090E-11
 3.42698930E+02 6.48649390E-11
 3.43367320E+02 6.75306940E-11
 3.44037020E+02 7.02396490E-11
 3.44708030E+02 7.19833020E-11
 3.45380350E+02 7.89902910E-11
 3.46053970E+02 7.89321300E-11
 3.46728910E+02 8.18866910E-11
 3.46988970E+02 8.30408170E-11
 3.47405170E+02 8.49176250E-11
 3.48082740E+02 8.82510090E-11
 3.48761640E+02 9.13396110E-11
 3.49441860E+02 9.52830160E-11
 3.50123410E+02 9.85848590E-11
 3.50806290E+02 1.02468200E-10
 3.51490500E+02 1.05795290E-10
 3.52176040E+02 1.06556990E-10
 3.52250350E+02 1.06821190E-10
 3.52256560E+02 1.06898020E-10
 3.52412100E+02 1.07452240E-10
 3.52418310E+02 9.00585780E-11
 3.52862920E+02 9.14076990E-11
 3.53551140E+02 9.94123400E-11
 3.54240700E+02 1.01105680E-10
 3.54931610E+02 7.28144290E-11
 3.55623860E+02 6.08653900E-11
 3.56317470E+02 1.03596520E-10
 3.56692090E+02 1.03844570E-10
 3.57012430E+02 1.04030350E-10
 3.57708740E+02 1.04515310E-10
 3.58406410E+02 1.40650530E-10
 3.59105440E+02 1.33307510E-10
 3.59805840E+02 1.39432690E-10
 3.60507600E+02 1.44516280E-10
 3.61077310E+02 1.49570760E-10
 3.61210730E+02 1.50776730E-10
 3.61915230E+02 1.56872190E-10
 3.62621110E+02 1.57774730E-10
 3.63328360E+02 1.67478050E-10
 3.64036990E+02 1.74446490E-10
 3.64747010E+02 1.79828580E-10
 3.65458410E+02 1.86441860E-10
 3.65571700E+02 1.87372550E-10
 3.66171190E+02 1.92362150E-10
 3.66885370E+02 2.00487680E-10
 3.67600940E+02 2.06774600E-10
 3.67861110E+02 2.07992520E-10
 3.68317900E+02 2.10117010E-10
 3.69036270E+02 2.22750130E-10
 3.69756030E+02 2.30933360E-10
 3.70179390E+02 2.36486280E-10
 3.70186240E+02 2.36455200E-10
 3.70477200E+02 2.40338770E-10
 3.71199770E+02 2.33049040E-10
 3.71923760E+02 2.63365960E-10
