UniqueID      Time          Wavelength    L_lambda      L_l_neb       
              (yr)          (Angstrom)    (erg/s/A)     (erg/s/A)     
-----------   -----------   -----------   -----------   -----------   
          1   5.00000e+05   1.64500e+03   6.32516e+38   6.73512e+38
          1   5.00000e+05   1.65500e+03   6.22905e+38   6.63372e+38
          1   5.00000e+05   1.66026e+03   6.18415e+38   6.58605e+38
          1   5.00000e+05   1.66033e+03   6.18356e+38   6.58547e+38
          1   5.00000e+05   1.66039e+03   6.18297e+38   6.58531e+38
          1   5.00000e+05   1.66046e+03   6.18238e+38   6.58853e+38
          1   5.00000e+05   1.66053e+03   6.18179e+38   6.60880e+38
          1   5.00000e+05   1.66060e+03   6.18120e+38   6.68199e+38
          1   5.00000e+05   1.66067e+03   6.18062e+38   6.84535e+38
          1   5.00000e+05   1.66074e+03   6.18003e+38   7.05429e+38
          1   5.00000e+05   1.66081e+03   6.17944e+38   7.15560e+38
          1   5.00000e+05   1.66088e+03   6.17885e+38   7.05304e+38
          1   5.00000e+05   1.66095e+03   6.17827e+38   6.84285e+38
          1   5.00000e+05   1.66102e+03   6.17768e+38   6.67825e+38
          1   5.00000e+05   1.66109e+03   6.17709e+38   6.60380e+38
          1   5.00000e+05   1.66116e+03   6.17650e+38   6.58229e+38
          1   5.00000e+05   1.66123e+03   6.17592e+38   6.57782e+38
          1   5.00000e+05   1.66129e+03   6.17533e+38   6.57673e+38
          1   5.00000e+05   1.66136e+03   6.17474e+38   6.57607e+38
          1   5.00000e+05   1.66500e+03   6.14402e+38   6.54343e+38
          1   5.00000e+05   1.66559e+03   6.12908e+38   6.52819e+38
          1   5.00000e+05   1.66566e+03   6.12734e+38   6.52652e+38
          1   5.00000e+05   1.66573e+03   6.12560e+38   6.52611e+38
          1   5.00000e+05   1.66580e+03   6.12385e+38   6.53557e+38
          1   5.00000e+05   1.66587e+03   6.12211e+38   6.59484e+38
          1   5.00000e+05   1.66594e+03   6.12037e+38   6.80877e+38
          1   5.00000e+05   1.66601e+03   6.11863e+38   7.28618e+38
          1   5.00000e+05   1.66608e+03   6.11689e+38   7.89678e+38
