 WMBASIC, Moont, Westmoquette 2004 (Pauldrach 2003) after SNC 2002
 Z/Z0 1.00 Teff 28.10 logg 3.08 R/R0 27.77 R 1.9314E+12
   Wavelength   Eddington Hnu
 (Angstroms) (erg/s/cm2/Hz/sr)
 3.42031830E+02 6.12930260E-09
 3.42698930E+02 8.42588010E-09
 3.43367320E+02 1.16736570E-08
 3.44037020E+02 2.03626160E-09
 3.44708030E+02 5.69026620E-09
 3.45380350E+02 1.68141040E-08
 3.46053970E+02 1.26983270E-08
 3.46728910E+02 1.25752720E-08
 3.46988970E+02 1.27071460E-08
 3.47405170E+02 1.29205760E-08
 3.48082740E+02 1.22495340E-08
 3.48761640E+02 1.02263580E-08
 3.49441860E+02 1.39705810E-08
 3.50123410E+02 1.15110650E-08
 3.50806290E+02 1.16423070E-08
 3.51490500E+02 6.23514890E-09
 3.52176040E+02 5.63595730E-09
 3.52250350E+02 5.68589180E-09
 3.52256560E+02 5.81335130E-09
 3.52412100E+02 5.92129640E-09
 3.52418310E+02 4.82821590E-09
 3.52862920E+02 5.08669210E-09
 3.53551140E+02 1.01860240E-08
 3.54240700E+02 1.26527500E-08
 3.54931610E+02 4.34203170E-09
 3.55623860E+02 4.62338010E-09
 3.56317470E+02 3.75810060E-10
 3.56692090E+02 2.85731350E-09
 3.57012430E+02 5.04055350E-09
 3.57708740E+02 8.47570860E-09
 3.58406410E+02 1.03233820E-08
 3.59105440E+02 1.48567720E-08
 3.59805840E+02 1.69730890E-09
 3.60507600E+02 3.89775050E-09
 3.61077310E+02 9.12876770E-09
 3.61210730E+02 1.03882310E-08
 3.61915230E+02 7.71251840E-09
 3.62621110E+02 2.09363570E-08
 3.63328360E+02 1.58739970E-08
 3.64036990E+02 1.13682460E-08
 3.64747010E+02 2.30093030E-08
 3.65458410E+02 2.61051670E-08
 3.65571700E+02 3.01658080E-08
 3.66171190E+02 5.22477110E-08
 3.66885370E+02 2.21424600E-08
 3.67600940E+02 2.36592800E-08
 3.67861110E+02 1.84571450E-08
 3.68317900E+02 9.06258130E-09
 3.69036270E+02 1.40115080E-08
 3.69756030E+02 1.59858300E-08
 3.70179390E+02 8.41700250E-09
 3.70186240E+02 8.30174260E-09
 3.70477200E+02 2.94629450E-09
 3.71199770E+02 8.22685750E-09
 3.71923760E+02 4.94574820E-11
 3.72649160E+02 6.15036070E-11
 3.73375970E+02 1.46113590E-09
 3.74104190E+02 3.09700580E-08
 3.74833840E+02 3.90116240E-08
 3.75564920E+02 3.70186400E-08
 3.76297410E+02 1.09775690E-08
 3.77031340E+02 1.37582090E-08
 3.77652630E+02 7.13387380E-09
 3.77766700E+02 5.88423780E-09
 3.78503490E+02 1.59615200E-08
 3.79241720E+02 3.71354340E-08
 3.79981390E+02 3.92213780E-08
 3.80722500E+02 3.70096360E-08
 3.81465060E+02 3.73017620E-08
 3.82209060E+02 4.53819790E-08
 3.82954520E+02 9.81026360E-09
 3.83701430E+02 2.01138230E-08
 3.84449800E+02 2.88771080E-11
 3.85199620E+02 4.11240290E-09
 3.85433840E+02 1.04492340E-08
 3.85441270E+02 1.06505480E-08
 3.85950910E+02 2.48017680E-08
 3.86703670E+02 6.07221420E-08
 3.87457890E+02 3.12887390E-08
 3.88213590E+02 7.26260440E-08
 3.88970750E+02 8.02577500E-08
 3.89193040E+02 7.46475560E-08
 3.89200620E+02 6.76289330E-08
 3.89729400E+02 5.51737560E-08
 3.90489520E+02 4.48180810E-08
 3.91251130E+02 5.45316250E-08
 3.92014220E+02 3.84162760E-08
 3.92778800E+02 4.78546440E-08
 3.93544870E+02 2.80664650E-09
 3.94312440E+02 3.07331470E-08
 3.95081500E+02 4.21660230E-08
 3.95852060E+02 6.17148980E-08
 3.96624130E+02 3.17942590E-08
 3.97046770E+02 4.16581610E-08
 3.97397700E+02 5.00500220E-08
 3.98172780E+02 3.77651920E-08
 3.98949370E+02 6.85532710E-08
 3.99727480E+02 8.81746230E-08
 4.00507110E+02 8.68683500E-08
 4.01288250E+02 9.16559330E-08
 4.02070920E+02 8.05420210E-08
 4.02855110E+02 4.58181460E-08
 4.03640840E+02 3.85276150E-08
 4.04428100E+02 6.16588260E-08
 4.05216890E+02 1.40420200E-07
 4.05223990E+02 1.40149230E-07
 4.05232200E+02 1.39588790E-07
