#"E (kev)" "Fv (kev/s/cm^2/kev)"
9.238274825593134e-06 2.1197037221836273e+25
9.328573752459835e-06 2.163438557989251e+25
9.413507656124113e-06 2.2043110482376886e+25
9.500002366593858e-06 2.2456826805662638e+25
9.588101306624096e-06 2.2875422046285494e+25
9.677849524782825e-06 2.3299346096543195e+25
9.761607467168829e-06 2.3693027203737904e+25
9.85464899981857e-06 2.4127708007175024e+25
9.949481227563417e-06 2.456805500957598e+25
1.0038028390591894e-05 2.4977628848656567e+25
1.0128165788384964e-05 2.539226902672347e+25
1.0228361987445657e-05 2.585092685207477e+25
1.032196596570015e-05 2.627748860264399e+25
1.0417298984694862e-05 2.6824690178647274e+25
1.0514409398958966e-05 2.74032539178126e+25
1.0613347383038135e-05 2.798842104116539e+25
1.0704920699544073e-05 2.852638951551184e+25
1.0807493981508344e-05 2.912511176481097e+25
1.090246317291e-05 2.9674690952527833e+25
1.1008875856940179e-05 3.0287444793737806e+25
1.1107433384755221e-05 3.0850809464464897e+25
1.1207771536379025e-05 3.142045086426188e+25
1.1320258294499616e-05 3.2056164236007143e+25
1.1424496400342155e-05 3.2639874650351e+25
1.1530672017445707e-05 3.3231977620377873e+25
1.162793166895181e-05 3.3771617060546323e+25
1.1737940483227607e-05 3.4378442500902588e+25
1.1850050707518224e-05 3.4994174248819784e+25
1.1952796811918672e-05 3.5555257682910212e+25
1.2069069154447062e-05 3.618809539624558e+25
1.2175665447273385e-05 3.6764517318294636e+25
1.2296336066175995e-05 3.7413726902388726e+25
1.2407003090771581e-05 3.8007731150860864e+25
1.2522207398840916e-05 3.8871018971113855e+25
1.2638283682155017e-05 3.9734804701942295e+25
1.2755220613520696e-05 4.0596324902097015e+25
1.2873005904515024e-05 4.145863232121997e+25
1.2991626273059245e-05 4.232151839219563e+25
1.3112453065706594e-05 4.3193503643814495e+25
1.3232725139474808e-05 4.40555649924505e+25
1.3355223994371992e-05 4.49252847443969e+25
1.3480012049947392e-05 4.580709735985733e+25
1.3604170055670592e-05 4.6679431036170165e+25
1.3730636443970319e-05 4.756084217419187e+25
1.3856380490028569e-05 4.843225471945631e+25
1.398444893008519e-05 4.931620511470515e+25
1.4114906815439796e-05 5.020999852699212e+25
1.424455004681008e-05 5.109087439030845e+25
1.4376596860685493e-05 5.198720705738287e+25
1.4509417718128382e-05 5.288344324983243e+25
1.4644715640665226e-05 5.378964067798243e+25
1.4779038821645717e-05 5.46863747843713e+25
1.4915848870848256e-05 5.559545378034784e+25
1.5055215496628541e-05 5.651693672109257e+25
1.519348896739111e-05 5.7429395167357575e+25
1.5334325906280535e-05 5.835393077392394e+25
1.5475867644719448e-05 5.927710034812614e+25
1.5620046696174718e-05 6.060658031118499e+25
1.5764934041641144e-05 6.204775597027514e+25
1.591049383274119e-05 6.348161538559363e+25
1.605668835352864e-05 6.49097175447049e+25
1.6205594423682837e-05 6.635210322100073e+25
1.6355131941433668e-05 6.77916507693227e+25
1.650745488394303e-05 6.924297983256211e+25
1.6660404311496683e-05 7.069258489286198e+25
1.6813935615627565e-05 7.213436040614741e+25
1.6970322925415922e-05 7.3594816832127275e+25
1.7127282013765297e-05 7.504930140482119e+25
1.728476329168512e-05 7.649633594049903e+25
1.7445167450466226e-05 7.796426425838566e+25
1.760607789239617e-05 7.942491363389073e+25
1.776998437520994e-05 8.090383609405182e+25
1.7934378564283868e-05 8.237817491147397e+25
1.8099202174721487e-05 8.384689056125182e+25
1.826708346697818e-05 8.533580264337727e+25
1.8435368634133105e-05 8.681960477712515e+25
1.860678327950147e-05 8.832335767135309e+25
1.877857286328376e-05 8.982185143142357e+25
1.895356414722209e-05 9.134048238079633e+25
1.9128897765605272e-05 9.285360203185027e+25
1.930450146378027e-05 9.436406120754582e+25
1.948335912495537e-05 9.589641872950981e+25
1.9662445468734677e-05 9.742276709112733e+25
1.9844854591765163e-05 9.897165819144774e+25
2.0030679836570197e-05 1.0054371734266894e+26
2.021342960373343e-05 1.0208272168844568e+26
2.040289934348229e-05 1.036770120999474e+26
2.0589118969086592e-05 1.0523379146750523e+26
2.0782249733285726e-05 1.0755741118278422e+26
2.0971945724766023e-05 1.1041378943554929e+26
