 menzel.local
 145.791u 0.208s 2:26.09 99.9%
 MV 5.2 Shock Test 01: 50km/s
 Quantity      ,   MVS5,   Model,  Diff%
 SIII     9069 ,  0.681,   0.681,    0.0
 SIII     9531 ,  1.710,   1.710,    0.0
 SIV    10.51m ,  0.010,   0.010,    0.0
 ArII   6.985m ,  0.146,   0.146,    0.0
 FeII   1.643m ,  2.677,   2.677,    0.0
 FeII   17.93m ,  1.079,   1.079,    0.0
 NiII   6.636m ,  0.241,   0.241,    0.0
 Ltot          , 481.00,  481.00,    0.0
 MV 5.2 Shock Test 05: 800km/s Precursor
 Quantity      ,   MVS5,   Model,  Diff%
 HBeta e4 4861 ,  2.687,   2.687,    0.0
 Lya      1215 , 78.895,  78.895,    0.0
 HeI      5876 ,  0.039,   0.039,    0.0
 HeII     4686 ,  0.380,   0.380,    0.0
 CII      2326 ,  0.911,   0.911,   -0.0
 CIII     1909 ,  6.043,   6.043,   -0.0
 CIV      1549 , 23.635,  23.635,   -0.0
 NI       5200 ,  0.540,   0.540,    0.0
 NII      5755 ,  0.028,   0.028,    0.0
 NII      6548 ,  0.529,   0.529,    0.0
 NII      6584 ,  1.557,   1.557,    0.0
 NIII     1749 ,  0.234,   0.234,    0.0
 NIV      1485 ,  1.433,   1.433,   -0.0
 OI       6300 ,  1.927,   1.927,    0.0
 OII      3727 ,  1.867,   1.867,    0.0
 OII      7319 ,  0.024,   0.024,   -0.0
 OII      7330 ,  0.019,   0.019,    0.0
 OIII     1663 ,  1.190,   1.190,    0.0
 OIII     4363 ,  0.360,   0.360,    0.0
 OIII     4959 ,  3.871,   3.871,    0.0
 OIII     5007 , 11.188,  11.188,    0.0
 OIV    25.89m ,  4.820,   4.820,    0.0
 NeII   12.81m ,  0.255,   0.255,    0.0
 NeIII  15.55m ,  1.043,   1.043,    0.0
 NeIV     2423 ,  1.274,   1.274,    0.0
 MgII     2798 ,  2.203,   2.203,   -0.0
 SiIII    1892 ,  0.342,   0.342,    0.0
 SiIII    2335 ,  0.409,   0.409,    0.0
 SiIII  18.71m ,  0.708,   0.708,    0.0
 SiIV     1397 ,  0.521,   0.521,    0.0
 SII      6716 ,  0.379,   0.379,    0.0
 SII      6731 ,  0.261,   0.261,    0.0
 SIII     6312 ,  0.046,   0.046,    0.0
 SIII     9069 ,  0.547,   0.547,    0.0
 SIII     9531 ,  1.373,   1.373,    0.0
 SIV    10.51m ,  0.301,   0.301,    0.0
 ArII   6.985m ,  0.054,   0.054,    0.0
 FeII   1.643m ,  1.323,   1.323,    0.0
 FeII   17.93m ,  0.338,   0.338,    0.0
 NiII   6.636m ,  0.088,   0.088,    0.0
 Ltot          , 428.93,  428.93,    0.0
 MV 5.2 Shock Test 05: 800km/s Structure
 Quantity      ,   MVS5,   Model,  Diff%
 TPre    kK    , 23.446,  23.446,    0.0
 XHIPre 1E-4   ,  2.913,   2.913,    0.0
 TShock  MK    ,  8.752,   8.752,    0.0
 Mach Number   , 34.520,  34.520,    0.0
 Alfven Mach   , 692.52,  692.52,    0.0
 R4   E19cm    , 27.620,  27.620,   -0.0
 R3   E19cm    , 27.630,  27.630,    0.0
 nH post       ,  3.990,   3.990,   -0.0
 nH4           , 875.49,  875.49,   -0.0
 nH3           , 926.47,  926.47,   -0.0
