 WMBASIC, Moont, Westmoquette 2004 (Pauldrach 2003) after SNC 2002
 Z/Z0 2.00 Teff 50.00 logg 4.00 R/R0 9.80 R 6.8160E+11
   Wavelength   Eddington Hnu
 (Angstroms) (erg/s/cm2/Hz/sr)
 2.37530000E+02 1.47215310E-06
 2.37965700E+02 4.34969240E-06
 2.38402200E+02 1.08986390E-05
 2.38580320E+02 1.27696950E-05
 2.38839510E+02 1.55016580E-05
 2.39277620E+02 2.32607300E-05
 2.39716530E+02 2.56228080E-05
 2.40156240E+02 2.72531030E-05
 2.40596760E+02 6.13005080E-05
 2.41038090E+02 2.53654150E-05
 2.41480230E+02 1.00604140E-04
 2.41923180E+02 1.35269530E-05
 2.42366950E+02 3.69878030E-07
 2.42811520E+02 6.17567810E-06
 2.43256920E+02 2.27360260E-05
 2.43691680E+02 2.46217800E-05
 2.43703130E+02 2.46716060E-05
 2.44150150E+02 2.42983070E-05
 2.44598000E+02 2.30818580E-07
 2.45046670E+02 1.17811470E-06
 2.45496160E+02 2.17856480E-06
 2.45946480E+02 2.89344710E-06
 2.46397630E+02 4.71104620E-07
 2.46849600E+02 3.93267580E-07
 2.47302400E+02 1.05163050E-06
 2.47756030E+02 3.37766120E-06
 2.48210490E+02 5.27781770E-06
 2.48665780E+02 4.89697080E-06
 2.49026830E+02 1.47980590E-05
 2.49121920E+02 1.74138430E-05
 2.49578880E+02 7.65955300E-05
 2.50036690E+02 1.19870990E-04
 2.50495340E+02 2.57085570E-05
 2.50954820E+02 4.81208100E-05
 2.51415150E+02 2.64511830E-04
 2.51782990E+02 1.07236020E-04
 2.51876330E+02 6.71991150E-05
 2.52338350E+02 1.20176040E-04
 2.52801220E+02 4.44910160E-05
 2.53264930E+02 3.64421760E-04
 2.53729500E+02 2.11559310E-05
 2.54194920E+02 1.74574070E-04
 2.54600830E+02 5.60231560E-05
 2.54604070E+02 5.59407800E-05
 2.54661190E+02 3.89415370E-05
 2.55128320E+02 1.24857850E-04
 2.55596310E+02 1.43508730E-04
 2.56065150E+02 8.39952570E-05
 2.56534850E+02 7.96979220E-05
 2.56735220E+02 4.50639470E-04
 2.57005420E+02 9.52370530E-04
 2.57476850E+02 1.48035740E-04
 2.57949140E+02 5.69391660E-05
 2.58422300E+02 3.72566640E-04
 2.58896330E+02 6.39615050E-05
 2.58905710E+02 6.41833720E-05
 2.58909060E+02 6.44236850E-05
 2.59371230E+02 7.54158630E-05
 2.59847000E+02 1.02728640E-04
 2.60323640E+02 1.53643740E-04
 2.60801150E+02 1.89597390E-04
 2.61279540E+02 3.56651880E-04
 2.61378120E+02 3.15537260E-04
 2.61381530E+02 3.20799200E-04
 2.61758810E+02 1.59610810E-04
 2.62238960E+02 1.08391780E-04
 2.62719990E+02 8.58835870E-05
 2.63201900E+02 1.70784890E-04
 2.63684690E+02 2.97538110E-04
 2.64168370E+02 2.46107350E-04
 2.64575530E+02 1.66976060E-04
 2.64652940E+02 1.51887130E-04
 2.65138400E+02 9.51009040E-05
 2.65624750E+02 1.09290820E-04
 2.66111990E+02 1.44658160E-04
 2.66600120E+02 2.55664900E-04
 2.67089150E+02 1.74503740E-04
 2.67579070E+02 1.22956040E-04
 2.67852140E+02 1.11829400E-04
 2.68069900E+02 1.02931040E-04
 2.68561620E+02 1.15360190E-04
 2.69054250E+02 1.10613460E-04
 2.69547780E+02 4.88138980E-05
 2.70042210E+02 4.52790720E-05
 2.70537560E+02 6.96109710E-05
 2.71033810E+02 1.02284060E-04
 2.71210930E+02 1.12747120E-04
 2.71530970E+02 1.31703380E-04
 2.72029040E+02 1.65445900E-04
 2.72528030E+02 2.60152050E-04
 2.72922110E+02 1.61929120E-04
 2.73027930E+02 1.35483160E-04
 2.73528750E+02 9.39710780E-05
 2.74030490E+02 5.02727470E-04
 2.74533140E+02 1.13740400E-04
 2.74655030E+02 9.34916560E-05
 2.74658800E+02 9.37769010E-05
 2.75036720E+02 3.02008060E-05
 2.75541230E+02 3.68594670E-05
 2.76046660E+02 1.08319860E-04
 2.76553010E+02 2.48239480E-06
 2.77060300E+02 1.57029710E-06
 2.77568510E+02 9.96434640E-06
 2.78077660E+02 3.04228860E-05
 2.78587740E+02 9.50225240E-05
 2.79098760E+02 1.67538680E-04
 2.79610720E+02 2.72866340E-04
 2.80123610E+02 3.17725290E-04
 2.80459440E+02 1.31222560E-04
 2.80637440E+02 3.21125800E-05
 2.81152220E+02 4.28807380E-05
 2.81667940E+02 7.90400910E-05
 2.82184610E+02 1.38274360E-04
 2.82702230E+02 2.36703130E-04
 2.83220790E+02 2.94569450E-04
 2.83740310E+02 3.23084000E-04
 2.84260780E+02 2.76450500E-04
 2.84782200E+02 2.45717480E-04
 2.85304580E+02 2.38385910E-04
 2.85827920E+02 1.95981840E-04
 2.86352220E+02 1.16785790E-04
 2.86514480E+02 1.02956980E-04
 2.86518580E+02 1.02920600E-04
 2.86877480E+02 7.21648410E-05
 2.87403700E+02 3.01161870E-05
 2.87930890E+02 8.52155950E-06
 2.88459040E+02 2.01491680E-05
 2.88988170E+02 3.30512510E-05
 2.89518260E+02 2.99755180E-05
 2.90049330E+02 3.92422060E-05
 2.90581370E+02 1.31830270E-05
 2.90909890E+02 1.26789620E-05
 2.91114390E+02 1.23644110E-05
 2.91648390E+02 1.89882580E-05
 2.92183360E+02 3.96895820E-05
 2.92719320E+02 5.92777550E-05
 2.93256260E+02 9.23295780E-05
 2.93794180E+02 1.14675230E-04
 2.94333090E+02 2.01292930E-05
 2.94872990E+02 5.99077910E-05
 2.95413880E+02 1.65438830E-04
 2.95442270E+02 1.69982010E-04
 2.95446640E+02 1.70713500E-04
 2.95691420E+02 2.09936960E-04
 2.95695790E+02 2.10721970E-04
 2.95955760E+02 2.52482570E-04
 2.96498640E+02 3.02873630E-04
 2.97042510E+02 3.12517520E-04
 2.97587380E+02 3.16105240E-04
 2.97613730E+02 3.13088320E-04
 2.98133250E+02 2.53483620E-04
 2.98680120E+02 1.98979410E-04
 2.99227990E+02 2.24833750E-04
 2.99561200E+02 2.55454650E-04
 2.99565690E+02 2.57507990E-04
 2.99776870E+02 2.77080200E-04
 2.99930480E+02 2.03496190E-04
 2.99934970E+02 2.02236070E-04
 3.00326750E+02 1.33105430E-05
 3.00877650E+02 4.47732500E-05
 3.01429550E+02 1.05344580E-04
 3.01982470E+02 1.95018510E-04
 3.02141460E+02 2.38724140E-04
 3.02536400E+02 3.47518240E-04
 3.03091350E+02 5.66135670E-04
 3.03647310E+02 5.89777540E-04
 3.04204290E+02 4.85620970E-04
 3.04385280E+02 4.44429180E-04
 3.04389910E+02 4.43449860E-04
 3.04762300E+02 3.58500630E-04
 3.05321330E+02 1.40581610E-04
 3.05881390E+02 1.45042110E-04
 3.06442470E+02 2.26960910E-04
 3.07004580E+02 2.91618340E-04
 3.07567720E+02 2.90412040E-04
 3.08131900E+02 2.76170100E-04
 3.08697110E+02 6.62578390E-05
 3.08844150E+02 5.41076680E-05
 3.09263360E+02 1.94001140E-05
 3.09830640E+02 1.06289340E-04
 3.10398970E+02 2.51573690E-04
 3.10968340E+02 3.46354220E-04
 3.11538750E+02 4.19865710E-04
 3.12110210E+02 4.02894870E-04
 3.12682720E+02 4.15132730E-04
 3.13256280E+02 4.40711050E-04
 3.13435610E+02 4.57153960E-04
 3.13440520E+02 4.57707090E-04
 3.13830890E+02 4.93575460E-04
 3.14406550E+02 5.83813730E-04
 3.14983280E+02 6.61267300E-04
 3.15561050E+02 6.48609380E-04
 3.16139890E+02 5.11772410E-04
 3.16273590E+02 5.29960790E-04
 3.16719790E+02 5.90771990E-04
 3.17300760E+02 5.59219300E-04
 3.17882780E+02 4.59694270E-05
 3.18465880E+02 1.28480810E-04
 3.19050050E+02 6.85330860E-05
 3.19163430E+02 7.69428740E-05
 3.19168530E+02 7.74015440E-05
 3.19635290E+02 1.12119170E-04
 3.20221600E+02 8.66850590E-05
 3.20800100E+02 1.75080930E-05
 3.20805250E+02 1.70401680E-05
 3.20808980E+02 1.65884580E-05
 3.21397450E+02 1.94863020E-05
 3.21986990E+02 2.15408890E-05
 3.22577620E+02 3.20291220E-04
 3.23169330E+02 5.28235140E-04
 3.23762120E+02 4.57994640E-04
 3.24233030E+02 4.58202010E-04
 3.24356000E+02 4.58255510E-04
 3.24950970E+02 5.08704290E-04
 3.25547040E+02 6.99933430E-04
 3.26144190E+02 1.15311190E-03
 3.26742440E+02 1.19403840E-03
 3.27341790E+02 4.53498440E-04
 3.27740230E+02 9.62553140E-04
 3.27745600E+02 9.77207970E-04
 3.27942240E+02 1.23086290E-03
 3.27954120E+02 1.21368880E-03
 3.27959500E+02 1.20633380E-03
 3.28543790E+02 3.60164180E-04
 3.28839200E+02 3.81432660E-04
 3.28844600E+02 3.81960130E-04
 3.29146440E+02 4.03732200E-04
 3.29750200E+02 1.16909670E-05
 3.30355060E+02 2.32129530E-04
 3.30961040E+02 4.75271300E-04
 3.31568120E+02 7.04362230E-06
 3.32176330E+02 2.41771690E-04
 3.32785640E+02 1.69838880E-05
 3.33396070E+02 3.04656860E-05
 3.34007630E+02 1.63703850E-05
 3.34620300E+02 3.27645210E-05
 3.35234000E+02 8.42665550E-05
 3.35234100E+02 8.42666020E-05
 3.35849030E+02 1.56049060E-04
 3.36465080E+02 2.91337360E-04
 3.37082260E+02 3.26748320E-04
 3.37700580E+02 6.67886580E-04
 3.38320030E+02 7.91518280E-04
 3.38940610E+02 5.18303480E-04
 3.39562330E+02 4.59076360E-04
 3.40185200E+02 6.81079280E-04
 3.40809200E+02 1.00635490E-03
 3.41434360E+02 6.86245020E-04
 3.41882450E+02 6.54609150E-04
 3.41888290E+02 6.57410530E-04
 3.42060650E+02 6.45159350E-04
 3.42688100E+02 7.93799420E-04
 3.43316700E+02 1.84317230E-03
 3.43946450E+02 6.90563600E-04
 3.44577350E+02 6.11686080E-04
 3.45209420E+02 3.66987780E-04
 3.45842640E+02 2.73673530E-04
 3.46477020E+02 1.99330040E-03
 3.46988970E+02 1.29501200E-03
 3.47112570E+02 1.12619870E-03
 3.47749290E+02 1.79448190E-03
 3.48387170E+02 2.70190910E-04
 3.49026220E+02 4.46175800E-06
 3.49666440E+02 1.80027030E-04
 3.50307840E+02 8.29674110E-05
