 OPTXAGNF AGN Spectrum Model Parameters: NLS, Astar 0.0                          
 M_BH:  1.0000E+08 M_0            L  :   1.000     L/Ledd 
 D   :  1.5000E+18 cm             z  :   0.000     redshift 
 Rcor:   40.00     Rg             Ro :   4.000     Rg 
 C_T :  0.2000     keV            Tau:   15.00     Optical Depth 
 gam :   2.200     (-slope)       fpl:  0.2000     Fraction 
 E              0.5DeltaE      E.FE total     E.FE Disk      E.FE Compton   E.FE NonThermal
 (keV)          (keV)          E.E/cm2/s/E    E.E/cm2/s/E    E.E/cm2/s/E    E.E/cm2/s/E    
 3.31505541E-06 1.10667844E-08 2.68225029E+09 2.68221662E+09  87.655154      33587.005    
 3.33726312E-06 1.11409213E-08 2.73774896E+09 2.73771457E+09  90.121855      34295.459    
 3.35961959E-06 1.12155548E-08 2.79187442E+09 2.79183932E+09  92.489307      34999.349    
 3.38212584E-06 1.12906884E-08 2.84852195E+09 2.84848613E+09  95.016545      35728.552    
 3.40478285E-06 1.13663252E-08 2.90622253E+09 2.90618597E+09  97.606771      36460.793    
 3.42759164E-06 1.14424687E-08 2.96366580E+09 2.96362852E+09  100.16988      37180.751    
 3.45055323E-06 1.15191223E-08 3.02508621E+09 3.02504816E+09  102.99600      37939.452    
 3.47366865E-06 1.15962894E-08 3.08504658E+09 3.08500780E+09  105.71288      38678.517    
 3.49693891E-06 1.16739735E-08 3.14719685E+09 3.14715727E+09  108.57085      39474.520    
 3.52036506E-06 1.17521780E-08 3.21138500E+09 3.21134458E+09  111.56180      40311.023    
 3.54394814E-06 1.18309064E-08 3.27485589E+09 3.27481465E+09  114.49171      41126.254    
 3.56768921E-06 1.19101621E-08 3.34225068E+09 3.34220858E+09  117.68862      41981.612    
 3.59158932E-06 1.19899488E-08 3.40896319E+09 3.40892025E+09  120.82699      42816.300    
 3.61564954E-06 1.20702701E-08 3.47714683E+09 3.47710304E+09  124.05865      43659.184    
 3.63987094E-06 1.21511293E-08 3.54854681E+09 3.54850215E+09  127.51189      44539.288    
 3.66425460E-06 1.22325303E-08 3.61867664E+09 3.61863106E+09  130.86110      45443.515    
 3.68880161E-06 1.23144766E-08 3.69262283E+09 3.69257628E+09  134.47711      46407.167    
 3.71351306E-06 1.23969718E-08 3.76684235E+09 3.76679485E+09  138.10190      47359.894    
 3.73839005E-06 1.24800197E-08 3.84164079E+09 3.84159234E+09  141.75573      48308.271    
 3.76343369E-06 1.25636239E-08 3.92105733E+09 3.92100788E+09  145.74228      49301.284    
 3.78864510E-06 1.26477882E-08 3.99854333E+09 3.99849293E+09  149.57078      50258.102    
 3.81402541E-06 1.27325163E-08 4.07967310E+09 4.07962169E+09  153.66043      51260.367    
 3.83957574E-06 1.28178120E-08 4.16223829E+09 4.16218580E+09  157.84651      52332.383    
 3.86529723E-06 1.29036791E-08 4.24447132E+09 4.24441776E+09  161.99141      53400.947    
 3.89119103E-06 1.29901214E-08 4.33243122E+09 4.33237652E+09  166.56465      54531.216    
 3.91725829E-06 1.30771428E-08 4.41822771E+09 4.41817193E+09  170.95531      55617.116    
 3.94350018E-06 1.31647472E-08 4.50723387E+09 4.50717696E+09  175.58018      56730.177    
 3.96991787E-06 1.32529384E-08 4.59907631E+09 4.59901827E+09  180.41389      57862.213    
 3.99651253E-06 1.33417205E-08 4.68993259E+09 4.68987341E+09  185.15196      58991.968    
 4.02328535E-06 1.34310972E-08 4.78644320E+09 4.78638276E+09  190.32522      60248.210    
 4.05023752E-06 1.35210728E-08 4.88189506E+09 4.88183338E+09  195.39707      61487.427    
 4.07737024E-06 1.36116511E-08 4.97953657E+09 4.97947363E+09  200.62668      62740.186    
 4.10468473E-06 1.37028361E-08 5.08169128E+09 5.08162704E+09  206.20756      64033.214    
 4.13218219E-06 1.37946320E-08 5.18207326E+09 5.18200776E+09  211.62367      65287.501    
 4.15986387E-06 1.38870429E-08 5.28795965E+09 5.28789284E+09  217.47515      66592.364    
 4.18773098E-06 1.39800728E-08 5.39414529E+09 5.39407714E+09  223.33312      67922.744    
 4.21578478E-06 1.40737260E-08 5.50125359E+09 5.50118404E+09  229.24594      69315.961    
 4.24402652E-06 1.41680065E-08 5.61487007E+09 5.61479904E+09  235.68873      70793.846    
 4.27245744E-06 1.42629186E-08 5.72577438E+09 5.72570193E+09  241.87992      72214.121    
 4.30107883E-06 1.43584665E-08 5.84194073E+09 5.84186680E+09  248.49787      73684.299    
 4.32989195E-06 1.44546545E-08 5.96005820E+09 5.95998279E+09  255.26298      75158.188    
 4.35889809E-06 1.45514869E-08 6.07775211E+09 6.07767523E+09  261.96582      76610.482    
 4.38809854E-06 1.46489680E-08 6.20368926E+09 6.20361080E+09  269.36616      78194.985    
 4.41749461E-06 1.47471021E-08 6.32642601E+09 6.32634593E+09  276.46172      79796.352    
 4.44708761E-06 1.48458936E-08 6.45386281E+09 6.45378107E+09  283.94581      81451.562    
 4.47687885E-06 1.49453469E-08 6.58524289E+09 6.58515946E+09  291.75759      83134.752    
 4.50686966E-06 1.50454665E-08 6.71526977E+09 6.71518469E+09  299.41964      84778.994    
 4.53706139E-06 1.51462567E-08 6.85344102E+09 6.85335421E+09  307.79099      86502.397    
 4.56745537E-06 1.52477222E-08 6.98998014E+09 6.98989163E+09  315.98742      88188.485    
 4.59805296E-06 1.53498674E-08 7.12977233E+09 7.12968205E+09  324.45016      89954.717    
 4.62885552E-06 1.54526968E-08 7.27589302E+09 7.27580081E+09  333.46948      91867.452    
 4.65986443E-06 1.55562151E-08 7.41954224E+09 7.41944817E+09  342.22801      93729.281    
 4.69108107E-06 1.56604269E-08 7.57112718E+09 7.57103115E+09  351.69687      95671.608    
 4.72250684E-06 1.57653368E-08 7.72300892E+09 7.72291097E+09  361.16379      97589.983    
 4.75414312E-06 1.58709495E-08 7.87634505E+09 7.87624518E+09  370.73216      99503.936    
 4.78599134E-06 1.59772697E-08 8.03884762E+09 8.03874573E+09  381.14448      101509.61    
 4.81805291E-06 1.60843022E-08 8.19754283E+09 8.19743891E+09  391.15638      103529.01    
 4.85032927E-06 1.61920516E-08 8.36383364E+09 8.36372753E+09  401.86559      105707.14    
 4.88282184E-06 1.63005229E-08 8.53276865E+09 8.53266034E+09  412.79858      107897.53    
 4.91553209E-06 1.64097209E-08 8.70117185E+09 8.70106138E+09  423.63785      110052.96    
 4.94846146E-06 1.65196503E-08 8.88143519E+09 8.88132243E+09  435.61290      112329.69    
 4.98161142E-06 1.66303162E-08 9.05697118E+09 9.05685621E+09  447.07963      114517.70    
 5.01498346E-06 1.67417234E-08 9.23938321E+09 9.23926598E+09  459.19048      116773.17    
 5.04857906E-06 1.68538770E-08 9.42727121E+09 9.42715156E+09  471.81505      119178.74    
 5.08239972E-06 1.69667819E-08 9.61330674E+09 9.61318464E+09  484.20546      121614.77    
 5.11644695E-06 1.70804431E-08 9.81106812E+09 9.81094344E+09  497.75181      124181.48    
 5.15072226E-06 1.71948658E-08 1.00063279E+10 1.00062007E+10  510.99768      126677.55    
 5.18522718E-06 1.73100550E-08 1.02064118E+10 1.02062821E+10  524.69225      129205.00    
 5.21996325E-06 1.74260158E-08 1.04153625E+10 1.04152302E+10  539.26839      131806.41    
 5.25493202E-06 1.75427535E-08 1.06208715E+10 1.06207366E+10  553.43189      134353.33    
 5.29013504E-06 1.76602732E-08 1.08378160E+10 1.08376783E+10  568.75426      137143.93    
 5.32557390E-06 1.77785801E-08 1.10549980E+10 1.10548574E+10  584.05339      139993.37    
 5.36125016E-06 1.78976796E-08 1.12744519E+10 1.12743085E+10  599.53719      142836.88    
 5.39716541E-06 1.80175770E-08 1.15068081E+10 1.15066617E+10  616.36463      145809.24    
 5.43332127E-06 1.81382776E-08 1.17338236E+10 1.17336743E+10  632.55495      148673.82    
 5.46971933E-06 1.82597867E-08 1.19717973E+10 1.19716450E+10  649.88452      151637.96    
 5.50636123E-06 1.83821098E-08 1.22133424E+10 1.22131871E+10  667.55299      154634.99    
 5.54324859E-06 1.85052524E-08 1.24542333E+10 1.24540749E+10  685.08123      157749.69    
 5.58038306E-06 1.86292200E-08 1.27121803E+10 1.27120184E+10  704.45878      161142.27    
 5.61776630E-06 1.87540179E-08 1.29631553E+10 1.29629902E+10  722.98935      164388.86    
 5.65539997E-06 1.88796519E-08 1.32241802E+10 1.32240117E+10  742.58713      167727.25    
 5.69328575E-06 1.90061276E-08 1.34927995E+10 1.34926276E+10  762.98941      171114.68    
 5.73142533E-06 1.91334505E-08 1.37588889E+10 1.37587137E+10  783.02595      174430.95    
 5.76982041E-06 1.92616263E-08 1.40418522E+10 1.40416734E+10  804.94619      177944.67    
 5.80847269E-06 1.93906608E-08 1.43210011E+10 1.43208187E+10  826.35203      181586.30    
 5.84738391E-06 1.95205598E-08 1.46072916E+10 1.46071054E+10  848.51267      185342.70    
