 OPTXAGNF AGN Spectrum Model Parameters: BLS, Astar 0.0                          
 M_BH:  1.0000E+08 M_0            L  :  0.2000     L/Ledd 
 D   :  1.5000E+18 cm             z  :   0.000     redshift 
 Rcor:   60.00     Rg             Ro :   4.000     Rg 
 C_T :  0.2000     keV            Tau:   15.00     Optical Depth 
 gam :   1.800     (-slope)       fpl:  0.5000     Fraction 
 E              0.5DeltaE      E.FE total     E.FE Disk      E.FE Compton   E.FE NonThermal
 (keV)          (keV)          E.E/cm2/s/E    E.E/cm2/s/E    E.E/cm2/s/E    E.E/cm2/s/E    
 3.66425460E-06 1.22325303E-08 2.38873504E+09 2.38856919E+09  2268.1668      163586.39    
 3.68880161E-06 1.23144766E-08 2.43745267E+09 2.43728342E+09  2330.8289      166912.73    
 3.71351306E-06 1.23969718E-08 2.48635081E+09 2.48617821E+09  2393.6430      170205.74    
 3.73839005E-06 1.24800197E-08 2.53563029E+09 2.53545433E+09  2456.9601      173502.92    
 3.76343369E-06 1.25636239E-08 2.58794164E+09 2.58776198E+09  2526.0416      177134.08    
 3.78864510E-06 1.26477882E-08 2.63898763E+09 2.63880429E+09  2592.3849      180749.97    
 3.81402541E-06 1.27325163E-08 2.69242584E+09 2.69223868E+09  2663.2525      184496.71    
 3.83957574E-06 1.28178120E-08 2.74680701E+09 2.74661602E+09  2735.7907      188255.78    
 3.86529723E-06 1.29036791E-08 2.80097184E+09 2.80077708E+09  2807.6153      191954.42    
 3.89119103E-06 1.29901214E-08 2.85889468E+09 2.85869594E+09  2886.8605      195851.71    
 3.91725829E-06 1.30771428E-08 2.91539998E+09 2.91519738E+09  2962.9426      199643.00    
 3.94350018E-06 1.31647472E-08 2.97401228E+09 2.97380550E+09  3043.0822      203728.68    
 3.96991787E-06 1.32529384E-08 3.03448623E+09 3.03427508E+09  3126.8396      208022.64    
 3.99651253E-06 1.33417205E-08 3.09431520E+09 3.09409978E+09  3208.9400      212210.60    
 4.02328535E-06 1.34310972E-08 3.15785334E+09 3.15763343E+09  3298.5796      216604.92    
 4.05023752E-06 1.35210728E-08 3.22069891E+09 3.22047463E+09  3386.4620      220890.53    
 4.07737024E-06 1.36116511E-08 3.28498195E+09 3.28475325E+09  3477.0775      225221.83    
 4.10468473E-06 1.37028361E-08 3.35222526E+09 3.35199195E+09  3573.7778      229733.87    
 4.13218219E-06 1.37946320E-08 3.41830876E+09 3.41807071E+09  3667.6239      234374.87    
 4.15986387E-06 1.38870429E-08 3.48800207E+09 3.48775897E+09  3769.0116      239325.98    
 4.18773098E-06 1.39800728E-08 3.55789328E+09 3.55764519E+09  3870.5117      244217.16    
 4.21578478E-06 1.40737260E-08 3.62839133E+09 3.62813826E+09  3972.9618      249090.86    
 4.24402652E-06 1.41680065E-08 3.70315578E+09 3.70289751E+09  4084.5921      254187.91    
 4.27245744E-06 1.42629186E-08 3.77614535E+09 3.77588205E+09  4191.8641      259103.03    
 4.30107883E-06 1.43584665E-08 3.85258467E+09 3.85231611E+09  4306.5283      264249.77    
 4.32989195E-06 1.44546545E-08 3.93030453E+09 3.93003036E+09  4423.7415      269745.62    
 4.35889809E-06 1.45514869E-08 4.00774957E+09 4.00746980E+09  4539.8758      275233.91    
 4.38809854E-06 1.46489680E-08 4.09059584E+09 4.09031014E+09  4668.0920      281040.38    
 4.41749461E-06 1.47471021E-08 4.17134842E+09 4.17105701E+09  4791.0285      286615.73    
 4.44708761E-06 1.48458936E-08 4.25518153E+09 4.25488427E+09  4920.6949      292334.83    
 4.47687885E-06 1.49453469E-08 4.34159899E+09 4.34129579E+09  5056.0372      298146.11    
 4.50686966E-06 1.50454665E-08 4.42713342E+09 4.42682428E+09  5188.7857      303944.29    
 4.53706139E-06 1.51462567E-08 4.51800266E+09 4.51768694E+09  5333.8197      310390.45    
 4.56745537E-06 1.52477222E-08 4.60780620E+09 4.60748398E+09  5475.8239      316752.30    
 4.59805296E-06 1.53498674E-08 4.69974213E+09 4.69941332E+09  5622.4403      323189.46    
 4.62885552E-06 1.54526968E-08 4.79582254E+09 4.79548693E+09  5778.6970      329826.66    
 4.65986443E-06 1.55562151E-08 4.89028870E+09 4.88994650E+09  5930.4362      336269.31    
 4.69108107E-06 1.56604269E-08 4.98995074E+09 4.98960167E+09  6094.4782      342973.05    
 4.72250684E-06 1.57653368E-08 5.08981014E+09 5.08945408E+09  6258.4864      349795.12    
 4.75414312E-06 1.58709495E-08 5.19062501E+09 5.19026164E+09  6424.2514      356947.34    
 4.78599134E-06 1.59772697E-08 5.29743936E+09 5.29706822E+09  6604.6331      364532.84    
 4.81805291E-06 1.60843022E-08 5.40176671E+09 5.40138810E+09  6778.0794      371827.73    
 4.85032927E-06 1.61920516E-08 5.51106548E+09 5.51067914E+09  6963.6023      379381.04    
 4.88282184E-06 1.63005229E-08 5.62209681E+09 5.62170271E+09  7153.0005      386947.07    
 4.91553209E-06 1.64097209E-08 5.73278455E+09 5.73238280E+09  7340.7753      394406.03    
 4.94846146E-06 1.65196503E-08 5.85123056E+09 5.85082048E+09  7548.2200      402534.45    
 4.98161142E-06 1.66303162E-08 5.96659023E+09 5.96617173E+09  7746.8608      410750.09    
 5.01498346E-06 1.67417234E-08 6.08644922E+09 6.08602201E+09  7956.6567      419254.21    
 5.04857906E-06 1.68538770E-08 6.20989119E+09 6.20945512E+09  8175.3485      427893.88    
 5.08239972E-06 1.69667819E-08 6.33212699E+09 6.33168227E+09  8389.9850      436338.64    
 5.11644695E-06 1.70804431E-08 6.46202972E+09 6.46157590E+09  8624.6394      445191.89    
 5.15072226E-06 1.71948658E-08 6.59030218E+09 6.58983949E+09  8854.0897      453845.68    
 5.18522718E-06 1.73100550E-08 6.72173188E+09 6.72125989E+09  9091.3101      462907.18    
 5.21996325E-06 1.74260158E-08 6.85895888E+09 6.85847682E+09  9343.7961      472720.08    
 5.25493202E-06 1.75427535E-08 6.99394281E+09 6.99345094E+09  9589.1362      482281.80    
 5.29013504E-06 1.76602732E-08 7.13640073E+09 7.13589862E+09  9854.5438      492259.83    
 5.32557390E-06 1.77785801E-08 7.27901843E+09 7.27850620E+09  10119.548      502106.90    
 5.36125016E-06 1.78976796E-08 7.42312563E+09 7.42260330E+09  10387.750      511940.18    
 5.39716541E-06 1.80175770E-08 7.57566190E+09 7.57512899E+09  10679.218      522230.86    
 5.43332127E-06 1.81382776E-08 7.72471759E+09 7.72417404E+09  10959.653      532585.85    
 5.46971933E-06 1.82597867E-08 7.88093293E+09 7.88037790E+09  11259.815      543772.20    
 5.50636123E-06 1.83821098E-08 8.03948482E+09 8.03891824E+09  11565.844      555014.37    
 5.54324859E-06 1.85052524E-08 8.19761642E+09 8.19703846E+09  11869.445      566083.23    
 5.58038306E-06 1.86292200E-08 8.36688347E+09 8.36629348E+09  12205.066      577777.80    
 5.61776630E-06 1.87540179E-08 8.53160778E+09 8.53100625E+09  12526.021      589008.96    
 5.65539997E-06 1.88796519E-08 8.70289571E+09 8.70228226E+09  12865.454      600589.16    
 5.69328575E-06 1.90061276E-08 8.87914437E+09 8.87851823E+09  13218.816      612918.12    
 5.73142533E-06 1.91334505E-08 9.05375089E+09 9.05311190E+09  13565.844      625425.45    
 5.76982041E-06 1.92616263E-08 9.23936869E+09 9.23871614E+09  13945.487      638609.44    
 5.80847269E-06 1.93906608E-08 9.42250606E+09 9.42184032E+09  14316.222      651420.50    
 5.84738391E-06 1.95205598E-08 9.61030798E+09 9.60962888E+09  14700.025      664403.87    
 5.88655580E-06 1.96513289E-08 9.80620918E+09 9.80551631E+09  15107.991      677754.84    
 5.92599011E-06 1.97829740E-08 9.99899834E+09 9.99829201E+09  15504.658      690822.06    
 5.96568858E-06 1.99155010E-08 1.02025308E+10 1.02018097E+10  15934.055      705138.00    
